_id,lon,lat,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,dt
65dc8dc790923d22fdb2488b,2.3488,48.8534,1,340.46,1.93,15.59,29.33,1.64,6.46,7.18,1.22,1708952463
65dc8dc790923d22fdb2488c,2.3488,48.8534,1,340.46,1.93,15.59,29.33,1.64,6.46,7.18,1.22,1708952442
65bfba7e43ceb7a79f562e4e,2.3488,48.8534,1,303.75,0.0,15.08,52.21,2.86,4.33,6.91,1.63,1706984521
65bfba7e43ceb7a79f562e4d,2.3488,48.8534,1,277.04,0.01,12.17,55.79,2.35,3.16,5.01,1.36,1706980082
65bfba7e43ceb7a79f562e53,2.3488,48.8534,1,277.04,0.01,12.17,55.79,2.35,3.16,5.01,1.36,1706980742
65bfba7e43ceb7a79f562e54,2.3488,48.8534,1,277.04,0.01,12.17,55.79,2.35,3.16,5.01,1.36,1706980742
65bfba7e43ceb7a79f562e50,2.3488,48.8534,1,303.75,0.0,15.08,52.21,2.86,4.33,6.91,1.63,1706983861
65bfba7e43ceb7a79f562e57,2.3488,48.8534,1,277.04,0.01,12.17,55.79,2.35,3.16,5.01,1.36,1706980082
65bfba7e43ceb7a79f562e58,2.3488,48.8534,1,277.04,0.01,12.17,55.79,2.35,3.16,5.01,1.36,1706980082
65bfba7e43ceb7a79f562e55,2.3488,48.8534,1,327.11,0.01,16.62,50.78,3.1,5.19,8.37,1.93,1706988022
65bfba7e43ceb7a79f562e56,2.3488,48.8534,1,277.04,0.01,12.17,55.79,2.35,3.16,5.01,1.36,1706980742
65bfba7e43ceb7a79f562e5a,2.3488,48.8534,1,303.75,0.0,15.08,52.21,2.86,4.33,6.91,1.63,1706983861
65bfba7e43ceb7a79f562e59,2.3488,48.8534,1,303.75,0.0,15.08,52.21,2.86,4.33,6.91,1.63,1706981402
65bfba7e43ceb7a79f562e5b,2.3488,48.8534,1,303.75,0.0,15.08,52.21,2.86,4.33,6.91,1.63,1706983861
65bfba7e43ceb7a79f562e5c,2.3488,48.8534,1,320.44,0.0,15.25,51.5,2.98,4.96,8.35,2.15,1706988662
65bfba7e43ceb7a79f562e4f,2.3488,48.8534,1,277.04,0.01,12.17,55.79,2.35,3.16,5.01,1.36,1706980082
65bfba7e43ceb7a79f562e5e,2.3488,48.8534,1,277.04,0.01,12.17,55.79,2.35,3.16,5.01,1.36,1706980742
65bfba7e43ceb7a79f562e5f,2.3488,48.8534,1,277.04,0.01,12.17,55.79,2.35,3.16,5.01,1.36,1706980742
65bfba7e43ceb7a79f562e61,2.3488,48.8534,1,277.04,0.01,12.17,55.79,2.35,3.16,5.01,1.36,1706980742
65bfba7e43ceb7a79f562e51,2.3488,48.8534,1,303.75,0.0,15.08,52.21,2.86,4.33,6.91,1.63,1706981402
65bfba7e43ceb7a79f562e60,2.3488,48.8534,1,277.04,0.01,12.17,55.79,2.35,3.16,5.01,1.36,1706980082
65bfba7e43ceb7a79f562e64,2.3488,48.8534,1,277.04,0.01,12.17,55.79,2.35,3.16,5.01,1.36,1706980082
65bfba7e43ceb7a79f562e63,2.3488,48.8534,1,303.75,0.0,15.08,52.21,2.86,4.33,6.91,1.63,1706984521
65bfba7e43ceb7a79f562e5d,2.3488,48.8534,1,320.44,0.0,15.25,51.5,2.98,4.96,8.35,2.15,1706988662
65bfba7e43ceb7a79f562e62,2.3488,48.8534,1,327.11,0.01,16.62,50.78,3.1,5.19,8.37,1.93,1706988022
65bfba7e43ceb7a79f562e4c,2.3488,48.8534,1,303.75,0.0,15.08,52.21,2.86,4.33,6.91,1.63,1706984521
65bfba7e43ceb7a79f562e65,2.3488,48.8534,1,327.11,0.01,16.62,50.78,3.1,5.19,8.37,1.93,1706985181
65bfba7e43ceb7a79f562e66,2.3488,48.8534,1,303.75,0.0,15.08,52.21,2.86,4.33,6.91,1.63,1706984521
65bfba7e43ceb7a79f562e68,2.3488,48.8534,1,327.11,0.01,16.62,50.78,3.1,5.19,8.37,1.93,1706988022
65bfba7e43ceb7a79f562e6b,2.3488,48.8534,1,327.11,0.01,16.62,50.78,3.1,5.19,8.37,1.93,1706988022
65bfba7e43ceb7a79f562e69,2.3488,48.8534,1,277.04,0.01,12.17,55.79,2.35,3.16,5.01,1.36,1706980082
65bfba7e43ceb7a79f562e6c,2.3488,48.8534,2,257.02,0.12,8.05,61.51,1.8,2.52,5.09,2.57,1707063841
65bfba7e43ceb7a79f562e6a,2.3488,48.8534,1,303.75,0.0,15.08,52.21,2.86,4.33,6.91,1.63,1706984521
65bfba7e43ceb7a79f562e67,2.3488,48.8534,1,277.04,0.01,12.17,55.79,2.35,3.16,5.01,1.36,1706980082
65bfba7e43ceb7a79f562e6d,2.3488,48.8534,1,303.75,0.0,15.08,52.21,2.86,4.33,6.91,1.63,1706983861
65bfba7e43ceb7a79f562e6e,2.3488,48.8534,1,327.11,0.01,16.62,50.78,3.1,5.19,8.37,1.93,1706988022
65bfba7e43ceb7a79f562e6f,2.3488,48.8534,1,277.04,0.01,12.17,55.79,2.35,3.16,5.01,1.36,1706980082
65bfba7e43ceb7a79f562e71,2.3488,48.8534,1,320.44,0.0,15.25,51.5,2.98,4.96,8.35,2.15,1706988662
65bfba7e43ceb7a79f562e70,2.3488,48.8534,1,303.75,0.0,15.08,52.21,2.86,4.33,6.91,1.63,1706983861
65bfba7e43ceb7a79f562e72,2.3488,48.8534,1,277.04,0.01,12.17,55.79,2.35,3.16,5.01,1.36,1706980082
65bfba7e43ceb7a79f562e52,2.3488,48.8534,1,320.44,0.0,15.25,51.5,2.98,4.96,8.35,2.15,1706988662
65bfba7e43ceb7a79f562e76,2.3488,48.8534,1,303.75,0.0,15.08,52.21,2.86,4.33,6.91,1.63,1706983861
65bfba7e43ceb7a79f562e7a,2.3488,48.8534,1,277.04,0.01,12.17,55.79,2.35,3.16,5.01,1.36,1706980742
65bfba7e43ceb7a79f562e74,2.3488,48.8534,1,277.04,0.01,12.17,55.79,2.35,3.16,5.01,1.36,1706980742
65bfba7e43ceb7a79f562e7b,2.3488,48.8534,1,277.04,0.01,12.17,55.79,2.35,3.16,5.01,1.36,1706980082
65bfba7e43ceb7a79f562e7c,2.3488,48.8534,1,303.75,0.0,15.08,52.21,2.86,4.33,6.91,1.63,1706981402
65bfba7e43ceb7a79f562e78,2.3488,48.8534,1,327.11,0.01,16.62,50.78,3.1,5.19,8.37,1.93,1706988022
65bfba7e43ceb7a79f562e79,2.3488,48.8534,1,303.75,0.0,15.08,52.21,2.86,4.33,6.91,1.63,1706984521
65bfba7e43ceb7a79f562e75,2.3488,48.8534,1,320.44,0.0,15.25,51.5,2.98,4.96,8.35,2.15,1706988662
65bfba7e43ceb7a79f562e7d,2.3488,48.8534,1,303.75,0.0,15.08,52.21,2.86,4.33,6.91,1.63,1706983861
65bfba7e43ceb7a79f562e7e,2.3488,48.8534,1,303.75,0.0,15.08,52.21,2.86,4.33,6.91,1.63,1706983861
65bfba7e43ceb7a79f562e73,2.3488,48.8534,1,303.75,0.0,15.08,52.21,2.86,4.33,6.91,1.63,1706984521
65bfba7e43ceb7a79f562e7f,2.3488,48.8534,1,303.75,0.0,15.08,52.21,2.86,4.33,6.91,1.63,1706984521
65bfba7e43ceb7a79f562e80,2.3488,48.8534,1,303.75,0.0,15.08,52.21,2.86,4.33,6.91,1.63,1706984521
65bfba7e43ceb7a79f562e81,2.3488,48.8534,1,327.11,0.01,16.62,50.78,3.1,5.19,8.37,1.93,1706988022
65bfba7e43ceb7a79f562e82,2.3488,48.8534,1,277.04,0.01,12.17,55.79,2.35,3.16,5.01,1.36,1706980742
65bfba7e43ceb7a79f562e83,2.3488,48.8534,2,257.02,0.12,8.05,61.51,1.8,2.52,5.09,2.57,1707063841
65bfba7e43ceb7a79f562e77,2.3488,48.8534,1,327.11,0.01,16.62,50.78,3.1,5.19,8.37,1.93,1706988022
65bfba7e43ceb7a79f562e84,2.3488,48.8534,1,303.75,0.0,15.08,52.21,2.86,4.33,6.91,1.63,1706984521
65bfba7e43ceb7a79f562e86,2.3488,48.8534,1,277.04,0.01,12.17,55.79,2.35,3.16,5.01,1.36,1706980742
65bfba7e43ceb7a79f562e8a,2.3488,48.8534,1,327.11,0.01,16.62,50.78,3.1,5.19,8.37,1.93,1706988022
65bfba7e43ceb7a79f562e8b,2.3488,48.8534,1,327.11,0.01,16.62,50.78,3.1,5.19,8.37,1.93,1706985181
65bfba7e43ceb7a79f562e89,2.3488,48.8534,1,303.75,0.0,15.08,52.21,2.86,4.33,6.91,1.63,1706983861
65bfba7e43ceb7a79f562e8c,2.3488,48.8534,1,303.75,0.0,15.08,52.21,2.86,4.33,6.91,1.63,1706983861
65bfba7e43ceb7a79f562e8d,2.3488,48.8534,1,277.04,0.01,12.17,55.79,2.35,3.16,5.01,1.36,1706980742
65bfba7e43ceb7a79f562e87,2.3488,48.8534,1,303.75,0.0,15.08,52.21,2.86,4.33,6.91,1.63,1706983861
65bfba7e43ceb7a79f562e85,2.3488,48.8534,1,327.11,0.01,16.62,50.78,3.1,5.19,8.37,1.93,1706988022
65bfba7e43ceb7a79f562e88,2.3488,48.8534,1,327.11,0.01,16.62,50.78,3.1,5.19,8.37,1.93,1706985181
65bfba7e43ceb7a79f562e8e,2.3488,48.8534,1,327.11,0.01,16.62,50.78,3.1,5.19,8.37,1.93,1706988022
65bfba7e43ceb7a79f562e8f,2.3488,48.8534,1,303.75,0.0,15.08,52.21,2.86,4.33,6.91,1.63,1706984521
65bfd4c386be73e0142cd1f4,2.3488,48.8534,1,263.69,0.02,9.77,56.51,2.0,3.07,6.54,2.85,1707066662
65bfd4c386be73e0142cd1f5,2.3488,48.8534,1,280.38,0.0,11.48,52.21,2.27,4.06,9.03,3.14,1707069901
65bfd4c386be73e0142cd1f7,2.3488,48.8534,1,280.38,0.0,11.48,52.21,2.27,4.06,9.03,3.14,1707068581
65bfd4c386be73e0142cd1f6,2.3488,48.8534,2,257.02,0.12,8.05,61.51,1.8,2.52,5.09,2.57,1707063841
65bfd4c386be73e0142cd1f8,2.3488,48.8534,1,280.38,0.0,11.48,52.21,2.27,4.06,9.03,3.14,1707067922
65bfd4c386be73e0142cd1ff,2.3488,48.8534,1,280.38,0.0,11.48,52.21,2.27,4.06,9.03,3.14,1707067922
65bfd4c386be73e0142cd200,2.3488,48.8534,1,280.38,0.0,11.48,52.21,2.27,4.06,9.03,3.14,1707069901
65bfd4c386be73e0142cd1fb,2.3488,48.8534,1,280.38,0.0,11.48,52.21,2.27,4.06,9.03,3.14,1707069242
65bfd4c386be73e0142cd201,2.3488,48.8534,1,263.69,0.02,9.77,56.51,2.0,3.07,6.54,2.85,1707064501
